,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Land Transport (including MRT and LRT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Road Traffic Accident Casualties, Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 26/04/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE POLICE FORCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number
"  Lorries, Tipper Trucks & Trailers",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,2,1,0,0,0,0,2,0,0,1,1,0,1,0,1,0,0,0,0,1,0,2,3,1,1,1,1,1,0,1,1,2,1,0,1,1,1,1,2,2,1,0,3,0,0,2,1,1,2,1,1,0,0,0,0,3,1,1,2,0,0,0,0,1,1,0,0,0,4,0,0,0,2
    Lorries,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,2,0,0,1,1,0,1,0,1,0,0,0,0,1,0,2,3,1,1,1,1,0,0,0,1,2,1,0,1,1,1,1,2,2,0,0,3,0,0,2,1,1,2,1,1,0,0,0,0,3,1,1,2,0,0,0,0,1,1,0,0,0,4,0,0,0,1
    Tipper Trucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
    Trailers,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Buses,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
  Others,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Total Casualties Injured,811,694,846,645,707,810,712,768,758,739,757,799,768,676,792,854,782,731,722,727,784,663,718,657,566,525,712,611,588,506,648,632,589,576,553,614,642,564,661,737,600,629,579,513,554,422,304,338,615,586,792,835,844,903,802,761,871,819,818,822,743,740,875,792,937,849,795,862,820,851,795,817,865,747,888,905,865,812,801,820,901,802,776,841,838,708,884,829,919,912,844,1025,947,831,880,851,874,880,895,978,856,873,799,872,892,827,891,811,958,828,827,825,815,877,855,926,893,823,848,790,739,666,801,764,795,870,831,856,814,750,810,832,801,770,858,844,811,847,871,897,899,701,889,829,910,900,855,887,837,927,910,907,914,841,866,883,893,790,956,838,929,1040,970,1055,1027,849,1012,947,950,854,857,918,941,917,866,966,892,893,927,897,918,853,898
  Pedestrians,78,70,88,56,74,77,72,75,65,60,70,82,84,70,64,54,74,49,53,61,58,50,52,50,61,36,61,66,35,33,45,53,45,39,51,56,49,54,84,73,62,54,50,51,63,33,18,33,64,58,83,71,80,86,70,71,83,70,80,89,88,83,108,76,59,66,77,69,88,58,61,63,88,80,92,81,88,71,66,72,84,73,66,78,82,69,73,91,89,95,83,112,88,70,109,75,86,78,89,90,78,63,61,87,121,66,94,84,88,63,78,79,77,73,76,95,69,62,67,86,65,65,69,69,82,78,88,71,96,87,83,79,90,76,90,74,71,88,94,94,105,84,97,98,99,82,83,80,86,89,84,93,92,83,87,105,80,71,99,76,85,88,84,90,106,69,88,90,97,70,114,87,100,93,95,90,91,71,82,87,105,87,85
  Personal Mobility Device Users,9,12,9,6,4,4,5,5,4,8,6,4,9,7,1,4,6,3,5,7,5,3,3,1,9,2,5,4,1,2,3,2,7,8,3,3,7,4,6,5,2,4,1,5,5,3,4,7,2,10,3,10,13,26,18,22,27,12,23,13,13,8,12,24,21,12,8,14,10,12,19,9,6,13,14,9,11,14,7,12,10,8,6,7,4,5,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Cyclists & Pillions,52,36,17,13,29,38,25,55,62,65,47,58,69,46,53,57,69,55,55,58,74,53,61,54,67,55,66,58,67,63,71,58,62,62,63,64,66,66,51,72,52,73,56,54,46,36,23,19,49,40,43,40,38,42,31,48,45,39,37,26,28,34,44,34,43,32,32,46,35,34,36,57,57,47,46,53,59,55,45,41,48,49,50,50,51,43,45,39,38,59,38,47,60,57,33,54,40,53,76,44,57,44,52,60,46,52,45,51,50,50,55,48,29,45,40,51,34,45,53,37,43,36,42,34,24,37,37,45,51,37,28,43,36,31,33,35,36,43,37,46,37,28,34,35,31,46,34,34,28,50,43,51,32,45,50,34,56,54,36,46,46,45,47,62,46,35,50,47,52,45,41,45,56,59,41,47,45,47,53,41,44,45,46
  Motor Cyclists & Pillion Riders,343,333,417,304,370,418,327,384,367,338,358,329,363,318,346,402,401,386,394,370,399,337,316,348,278,256,342,267,313,295,337,343,288,282,280,309,336,301,308,359,266,295,289,244,297,238,190,198,315,298,392,423,448,421,438,384,444,422,416,424,406,375,409,377,436,414,387,414,392,437,411,399,391,357,424,395,394,382,396,395,447,373,378,418,439,351,435,397,468,435,431,478,449,387,415,429,438,396,379,435,428,422,376,430,420,358,419,412,441,386,401,374,404,403,378,454,428,388,420,356,351,307,371,360,378,379,363,385,363,355,369,371,334,322,404,414,389,428,373,439,415,331,393,403,402,442,371,399,414,405,429,429,444,392,391,412,436,383,469,439,437,500,483,518,455,424,481,440,460,436,417,440,451,467,431,477,446,435,435,440,449,377,456
  Motor Cars And Station Wagons,223,190,221,180,165,187,218,190,165,184,208,219,193,179,223,241,160,174,137,155,157,158,214,143,114,124,172,141,121,83,145,129,128,132,96,116,116,92,127,152,142,139,136,119,104,88,53,53,132,118,210,202,201,203,195,200,192,199,164,196,149,188,200,214,252,206,191,211,220,209,170,218,227,189,230,266,221,167,205,203,209,226,194,213,196,187,198,222,225,231,198,281,245,203,235,206,189,261,202,261,211,255,227,224,210,240,233,190,263,235,197,213,229,230,252,231,249,242,196,230,205,181,228,215,208,239,248,259,204,210,240,241,240,260,247,226,239,209,270,219,224,188,239,229,239,229,271,271,212,291,276,256,239,236,258,253,233,204,253,200,273,275,258,273,237,223,269,206,220,224,181,274,247,233,212,269,211,255,251,217,204,214,207
  Goods Vans & Pick-Ups,17,9,14,30,24,22,25,14,24,19,19,21,8,10,23,27,22,12,8,13,18,20,16,15,13,11,12,23,16,11,12,15,10,12,17,17,21,10,27,20,22,23,6,14,12,9,6,7,15,15,14,21,17,15,13,7,8,16,9,13,14,13,13,11,24,22,9,22,17,20,2,10,22,12,9,12,12,13,17,18,15,25,24,11,13,10,29,16,22,22,16,18,12,22,23,14,22,25,23,20,16,17,14,16,26,18,8,11,27,29,17,16,16,16,26,15,12,23,22,15,10,13,9,12,11,23,22,19,13,15,23,24,20,14,30,31,16,18,12,22,26,17,12,14,20,29,17,21,24,26,18,22,20,15,14,19,23,31,25,20,21,25,21,23,16,24,23,29,27,23,30,14,18,14,23,24,25,21,43,26,22,31,17
    Goods Vans,17,9,14,30,23,20,23,14,21,19,19,21,8,9,20,27,21,11,8,11,15,20,16,15,13,11,12,23,14,10,12,15,10,11,17,17,16,10,25,20,22,20,6,12,12,9,5,6,15,15,14,21,13,15,13,6,8,15,9,13,14,9,11,11,24,21,8,20,15,19,2,10,21,12,8,12,12,13,17,18,15,23,24,11,13,10,28,15,21,22,16,18,12,22,23,13,19,21,22,18,16,17,11,15,26,17,7,10,26,25,15,14,16,16,26,15,12,23,22,15,5,12,9,12,10,22,20,18,11,14,21,20,18,13,27,29,16,17,10,21,26,15,12,14,19,18,16,18,22,26,18,20,17,15,12,17,22,31,22,16,18,22,19,21,15,21,21,27,26,22,30,13,14,14,22,20,23,19,42,24,22,26,14
